ranking_date,rank,player,points
20240101,1,210001,9900
20240101,2,210002,9800
20240101,3,210003,9700
20240101,4,210004,9600
20240101,5,210005,9500
20240101,6,210006,9400
20240101,7,210007,9300
20240101,8,210008,9200
20240101,9,210009,9100
20240101,10,210010,9000
20240101,11,210011,8900
20240101,12,210012,8800
20240101,13,210013,8700
20240101,14,210014,8600
20240101,15,210015,8500
20240101,16,210016,8400
20240701,1,210001,9900
20240701,2,210002,9800
20240701,3,210003,9700
20240701,4,210004,9600
20240701,5,210005,9500
20240701,6,210006,9400
20240701,7,210007,9300
20240701,8,210008,9200
20240701,9,210009,9100
20240701,10,210010,9000
20240701,11,210011,8900
20240701,12,210012,8800
20240701,13,210013,8700
20240701,14,210014,8600
20240701,15,210015,8500
20240701,16,210016,8400
20250101,1,210001,9900
20250101,2,210002,9800
20250101,3,210003,9700
20250101,4,210004,9600
20250101,5,210005,9500
20250101,6,210006,9400
20250101,7,210007,9300
20250101,8,210008,9200
20250101,9,210009,9100
20250101,10,210010,9000
20250101,11,210011,8900
20250101,12,210012,8800
20250101,13,210013,8700
20250101,14,210014,8600
20250101,15,210015,8500
20250101,16,210016,8400
